"nSubs","smoothing","component","mean_mse"
25,"none","VisCent",0.000331995330745957
25,"none","VisPeri",0.000216797334388541
25,"none","SomMotA",0.000261620969782288
25,"none","SomMotB",0.000189889884406959
25,"none","DorsAttnA",0.000245914999984108
25,"none","DorsAttnB",0.000205724724765985
25,"none","SalVentAttnA",0.00025817839270539
25,"none","SalVentAttnB",0.000175130522399244
25,"none","LimbicA",9.97221937934992e-05
25,"none","LimbicB",0.000100381179318485
25,"none","ContA",0.00028730856715744
25,"none","ContB",0.000361893565552679
25,"none","ContC",0.00011369902685175
25,"none","DefaultA",0.000448904996328658
25,"none","DefaultB",0.000353844685505052
25,"none","DefaultC",7.59436145568223e-05
25,"none","TempPar",9.38238164457559e-05
25,"5","VisCent",0.00324960943732033
25,"5","VisPeri",0.00277556011432003
25,"5","SomMotA",0.00226537058607138
25,"5","SomMotB",0.00150788670700932
25,"5","DorsAttnA",0.0045005540743413
25,"5","DorsAttnB",0.00413893967276258
25,"5","SalVentAttnA",0.00335908274448832
25,"5","SalVentAttnB",0.00237908477539873
25,"5","LimbicA",0.000780403534178012
25,"5","LimbicB",0.00229255097933322
25,"5","ContA",0.00617591275238059
25,"5","ContB",0.00799209554750278
25,"5","ContC",0.00235459957116642
25,"5","DefaultA",0.00796423581915833
25,"5","DefaultB",0.00632034514182166
25,"5","DefaultC",0.000863004118721548
25,"5","TempPar",0.0018932491424177
50,"none","VisCent",0.000143376711516738
50,"none","VisPeri",9.56195648033933e-05
50,"none","SomMotA",0.000132590747676743
50,"none","SomMotB",8.64792002194291e-05
50,"none","DorsAttnA",0.000102055765655288
50,"none","DorsAttnB",9.42126594486343e-05
50,"none","SalVentAttnA",0.000126809676539369
50,"none","SalVentAttnB",9.02549696882135e-05
50,"none","LimbicA",4.57087664245856e-05
50,"none","LimbicB",5.02343753648188e-05
50,"none","ContA",0.00014144300016591
50,"none","ContB",0.000153816685764726
50,"none","ContC",5.99483394353919e-05
50,"none","DefaultA",0.000226140712921632
50,"none","DefaultB",0.000171551951861405
50,"none","DefaultC",3.8105292790421e-05
50,"none","TempPar",4.18111329263802e-05
50,"5","VisCent",0.00380168358201454
50,"5","VisPeri",0.00297506663822131
50,"5","SomMotA",0.00269751885163373
50,"5","SomMotB",0.00179249115801007
50,"5","DorsAttnA",0.00443170035770904
50,"5","DorsAttnB",0.00418564743235683
50,"5","SalVentAttnA",0.00319051595073248
50,"5","SalVentAttnB",0.00248138598946134
50,"5","LimbicA",0.000968358019821948
50,"5","LimbicB",0.00262980608609743
50,"5","ContA",0.00590364931882871
50,"5","ContB",0.00695413226549856
50,"5","ContC",0.0023658116205299
50,"5","DefaultA",0.0074869155542244
50,"5","DefaultB",0.00576102013906309
50,"5","DefaultC",0.000906420056456901
50,"5","TempPar",0.00207644158995612
100,"none","VisCent",6.23447391915613e-05
100,"none","VisPeri",3.99777157607959e-05
100,"none","SomMotA",4.99781997637939e-05
100,"none","SomMotB",3.74583265041814e-05
100,"none","DorsAttnA",4.56802431480683e-05
100,"none","DorsAttnB",4.08570768172716e-05
100,"none","SalVentAttnA",4.86031952129611e-05
100,"none","SalVentAttnB",3.50089179025723e-05
100,"none","LimbicA",1.90221865650177e-05
100,"none","LimbicB",2.35626380412026e-05
100,"none","ContA",5.05768475123789e-05
100,"none","ContB",6.09084272508942e-05
100,"none","ContC",2.33383019113777e-05
100,"none","DefaultA",8.54800996611595e-05
100,"none","DefaultB",6.84086376042079e-05
100,"none","DefaultC",1.59844212982506e-05
100,"none","TempPar",1.88728530568653e-05
100,"5","VisCent",0.00352212214601368
100,"5","VisPeri",0.00304057072791555
100,"5","SomMotA",0.00217414953508868
100,"5","SomMotB",0.00169895279382412
100,"5","DorsAttnA",0.00413970468768619
100,"5","DorsAttnB",0.00397158483942901
100,"5","SalVentAttnA",0.0027012270762576
100,"5","SalVentAttnB",0.00222281435749642
100,"5","LimbicA",0.000865548493722523
100,"5","LimbicB",0.00216696081789885
100,"5","ContA",0.00532657631030709
100,"5","ContB",0.00591772966583469
100,"5","ContC",0.00209856350140773
100,"5","DefaultA",0.00689418191320997
100,"5","DefaultB",0.0053572341120875
100,"5","DefaultC",0.000940421964482173
100,"5","TempPar",0.0018171312583581
200,"none","VisCent",1.89341671122104e-05
200,"none","VisPeri",1.1913391090686e-05
200,"none","SomMotA",1.51190534774784e-05
200,"none","SomMotB",1.0996826599208e-05
200,"none","DorsAttnA",1.3344855854884e-05
200,"none","DorsAttnB",1.15856733035406e-05
200,"none","SalVentAttnA",1.42453834276816e-05
200,"none","SalVentAttnB",1.0695687272908e-05
200,"none","LimbicA",5.47489487468146e-06
200,"none","LimbicB",5.97787563592965e-06
200,"none","ContA",1.67565236876055e-05
200,"none","ContB",1.88991884352985e-05
200,"none","ContC",7.07906230029472e-06
200,"none","DefaultA",2.4451727472811e-05
200,"none","DefaultB",1.95378167608653e-05
200,"none","DefaultC",4.62328020843185e-06
200,"none","TempPar",4.95866837281275e-06
