"","subject","session","encoding","mean_fd","valid_time_sec"
"1",100206,"REST1","LR",0.101723950550278,858.24
"2",100206,"REST2","LR",0.136122039622302,858.96
"3",100206,"REST1","RL",0.0698778817949959,864
"4",100206,"REST2","RL",0.0824893879709357,863.28
"5",100307,"REST1","LR",0.0826447286980239,863.28
"6",100307,"REST2","LR",0.110385510477164,862.56
"7",100307,"REST1","RL",0.0779987591290359,864
"8",100307,"REST2","RL",0.0832161453705879,864
"9",100408,"REST1","LR",0.212990915764992,827.28
"10",100408,"REST2","LR",0.179045053377688,838.08
"11",100408,"REST1","RL",0.155653951365909,845.28
"12",100408,"REST2","RL",0.15534113351775,846.72
"13",100610,"REST1","LR",0.15028004377168,860.4
"14",100610,"REST2","LR",0.161695911544649,850.32
"15",100610,"REST1","RL",0.1105693221387,864
"16",100610,"REST2","RL",0.12053410314472,859.68
"17",101006,"REST1","LR",0.180394250127968,862.56
"18",101006,"REST2","LR",0.217332233009508,826.56
"19",101006,"REST1","RL",0.18783875224,853.92
"20",101006,"REST2","RL",0.15058433598456,863.28
"21",101107,"REST1","LR",0.614587978831338,686.16
"22",101107,"REST2","LR",0.249021898038512,759.6
"23",101107,"REST1","RL",0.16848039137028,839.52
"24",101107,"REST2","RL",0.21590243771552,792
"25",101309,"REST1","LR",0.118403437418133,853.92
"26",101309,"REST2","LR",0.0796846043842417,864
"27",101309,"REST1","RL",0.0803466877930566,863.28
"28",101309,"REST2","RL",0.113319394097654,857.52
"29",101410,"REST1","LR",0.128095710089911,862.56
"30",101410,"REST1","RL",0.12693722908056,864
"31",101915,"REST1","LR",0.137601699449534,830.16
"32",101915,"REST2","LR",0.0790124688759939,861.12
"33",101915,"REST1","RL",0.154585869893429,830.16
"34",101915,"REST2","RL",0.150192349728728,840.24
"35",102008,"REST1","LR",0.260929843843536,766.8
"36",102008,"REST2","LR",0.168241302841823,841.68
"37",102008,"REST1","RL",0.156643756078789,856.08
"38",102008,"REST2","RL",0.309301441154878,731.52
"39",102109,"REST1","LR",0.124516419952387,864
"40",102109,"REST2","LR",0.113225068400501,862.56
"41",102109,"REST1","RL",0.145803857467505,851.76
"42",102109,"REST2","RL",0.113541818292722,864
"43",102311,"REST1","LR",0.236865151735669,800.64
"44",102311,"REST2","LR",0.229449832071813,819.36
"45",102311,"REST1","RL",0.17670750535568,821.52
"46",102311,"REST2","RL",0.179519378435794,853.92
"47",102513,"REST1","LR",0.0784347492409905,864
"48",102513,"REST2","LR",0.0676562598810514,864
"49",102513,"REST1","RL",0.0750682659025177,864
"50",102513,"REST2","RL",0.0595261434383298,864
"51",102614,"REST1","LR",0.0686778834556675,864
"52",102614,"REST2","LR",0.0978538138430159,864
"53",102614,"REST1","RL",0.122308962912343,864
"54",102614,"REST2","RL",0.122266950991601,864
"55",102715,"REST1","LR",0.110374265605158,862.56
"56",102715,"REST2","LR",0.0888203066921533,861.84
"57",102715,"REST1","RL",0.10456436142733,864
"58",102715,"REST2","RL",0.0660994761978338,864
"59",102816,"REST1","LR",0.40771475710789,675.36
"60",102816,"REST2","LR",0.234803588732752,784.8
"61",102816,"REST1","RL",0.170254054330097,817.92
"62",102816,"REST2","RL",0.347304693123833,720.72
"63",103010,"REST1","LR",0.161903904413416,859.68
"64",103010,"REST2","LR",0.116339968351719,864
"65",103010,"REST1","RL",0.180417706337456,835.92
"66",103010,"REST2","RL",0.146392254791823,851.76
"67",103111,"REST1","LR",0.119318022314681,858.24
"68",103111,"REST2","LR",0.0895606144323182,864
"69",103111,"REST1","RL",0.0902992088747104,864
"70",103111,"REST2","RL",0.0761677872562409,864
"71",103212,"REST1","LR",0.37889259753444,642.24
"72",103212,"REST2","LR",0.102966517328291,862.56
"73",103212,"REST1","RL",0.247468879430882,758.88
"74",103212,"REST2","RL",0.128816125215588,861.84
"75",103414,"REST1","LR",0.109533646040548,860.4
"76",103414,"REST2","LR",0.117402066321412,860.4
"77",103414,"REST1","RL",0.10639927038516,862.56
"78",103414,"REST2","RL",0.126352056248554,856.8
"79",103515,"REST1","LR",0.186202864315992,822.96
"80",103515,"REST2","LR",0.157553157351156,843.84
"81",103515,"REST1","RL",0.0999717215282604,859.68
"82",103515,"REST2","RL",0.279092248681369,789.12
"83",103818,"REST1","LR",0.246855912197755,823.68
"84",103818,"REST2","LR",0.224722675157703,848.16
"85",103818,"REST1","RL",0.187487629658026,843.84
"86",103818,"REST2","RL",0.324471115112582,757.44
"87",104012,"REST1","LR",0.11084790447626,864
"88",104012,"REST2","LR",0.115492351698452,860.4
"89",104012,"REST1","RL",0.0927491279687341,864
"90",104012,"REST2","RL",0.108850705131496,863.28
"91",104416,"REST1","LR",0.11925829611166,864
"92",104416,"REST2","LR",0.16201277003738,861.84
"93",104416,"REST1","RL",0.147920965134854,860.4
"94",104416,"REST2","RL",0.207544371147883,835.92
"95",104820,"REST1","LR",0.274742037848101,784.08
"96",104820,"REST2","LR",0.176948048401667,828.72
"97",104820,"REST1","RL",0.152697504592982,833.76
"98",104820,"REST2","RL",0.331734139131343,756.72
"99",105014,"REST1","LR",0.115973664009175,861.12
"100",105014,"REST2","LR",0.088985711682022,863.28
"101",105014,"REST1","RL",0.223886571576201,811.44
"102",105014,"REST2","RL",0.083768269673939,861.84
"103",105115,"REST1","LR",0.157089852849623,855.36
"104",105115,"REST2","LR",0.142431920812435,853.2
"105",105115,"REST1","RL",0.150675260749951,862.56
"106",105115,"REST2","RL",0.125777126930821,858.96
"107",105216,"REST1","LR",0.0817611816152835,863.28
"108",105216,"REST2","LR",0.107125160818246,849.6
"109",105216,"REST1","RL",0.109394512485446,851.04
"110",105216,"REST2","RL",0.114616506798991,843.12
"111",105620,"REST1","LR",0.0585384054395791,858.24
"112",105620,"REST2","LR",0.062776658116472,864
"113",105620,"REST1","RL",0.0635863233803853,864
"114",105620,"REST2","RL",0.0600905397583017,864
"115",105923,"REST1","LR",0.203899345134061,847.44
"116",105923,"REST2","LR",0.232375329673029,807.84
"117",105923,"REST1","RL",0.173593959814139,849.6
"118",105923,"REST2","RL",0.229696081055156,810.72
"119",106016,"REST1","LR",0.151945568977497,843.12
"120",106016,"REST2","LR",0.114830855857551,864
"121",106016,"REST1","RL",0.130745423746164,853.2
"122",106016,"REST2","RL",0.149137413817521,855.36
"123",106319,"REST1","LR",0.192439775684001,844.56
"124",106319,"REST2","LR",0.22920500063204,839.52
"125",106319,"REST1","RL",0.19442344498321,852.48
"126",106319,"REST2","RL",0.201274659058997,847.44
"127",106521,"REST1","LR",0.11098635197737,864
"128",106521,"REST2","LR",0.0759588697087411,864
"129",106521,"REST1","RL",0.125717628531934,862.56
"130",106521,"REST2","RL",0.117387875714762,845.28
"131",106824,"REST1","LR",0.14275731657853,851.76
"132",106824,"REST2","LR",0.115640257175977,861.12
"133",106824,"REST1","RL",0.134851662447453,856.8
"134",106824,"REST2","RL",0.125657430804568,861.84
"135",107018,"REST1","LR",0.0830080179236789,854.64
"136",107018,"REST2","LR",0.0974932102808708,862.56
"137",107018,"REST1","RL",0.0618105043614135,864
"138",107018,"REST2","RL",0.0555015208676905,864
"139",107220,"REST1","LR",0.267560853135409,750.96
"140",107220,"REST1","RL",0.306775066594394,713.52
"141",107321,"REST1","LR",0.103494438421655,864
"142",107321,"REST2","LR",0.0689381955269025,864
"143",107321,"REST1","RL",0.0798723992526768,858.24
"144",107321,"REST2","RL",0.0624774846647856,864
"145",107422,"REST1","LR",0.138057427704272,855.36
"146",107422,"REST2","LR",0.0826708564042306,861.12
"147",107422,"REST1","RL",0.100500336845656,863.28
"148",107422,"REST2","RL",0.0996833055217397,860.4
"149",107725,"REST1","LR",0.26558708575758,768.24
"150",107725,"REST2","LR",0.289298390523189,733.68
"151",107725,"REST1","RL",0.185599613057008,825.12
"152",107725,"REST2","RL",0.44228479230744,620.64
"153",108020,"REST1","LR",0.345453106787195,682.56
"154",108020,"REST2","LR",0.173577812241802,850.32
"155",108020,"REST1","RL",0.222407546243455,855.36
"156",108020,"REST2","RL",0.309565958697775,728.64
"157",108121,"REST1","LR",0.182733149517656,857.52
"158",108121,"REST2","LR",0.18423411112856,856.8
"159",108121,"REST1","RL",0.190294177951361,846
"160",108121,"REST2","RL",0.166126076159618,846
"161",108222,"REST1","LR",0.195980255787682,817.2
"162",108222,"REST2","LR",0.196300147795095,820.8
"163",108222,"REST1","RL",0.267745415908155,790.56
"164",108222,"REST2","RL",0.178167444270824,835.92
"165",108323,"REST1","LR",0.134383657861225,840.96
"166",108323,"REST2","LR",0.111593774733316,836.64
"167",108323,"REST1","RL",0.0788698050676266,857.52
"168",108323,"REST2","RL",0.129776516502685,837.36
"169",108525,"REST1","LR",0.155119811111101,857.52
"170",108525,"REST2","LR",0.159992735639551,859.68
"171",108525,"REST1","RL",0.154145098766936,859.68
"172",108525,"REST2","RL",0.208101916724983,828
"173",108828,"REST1","LR",0.184360064889931,854.64
"174",108828,"REST2","LR",0.148996015427834,856.8
"175",108828,"REST1","RL",0.156095592749057,853.92
"176",108828,"REST2","RL",0.313498115398199,717.84
"177",109123,"REST1","LR",0.32961833033492,703.44
"178",109123,"REST2","LR",0.296187599697328,745.2
"179",109123,"REST1","RL",0.154191854467124,841.68
"180",109123,"REST2","RL",0.441558934620729,537.84
"181",109325,"REST1","LR",0.126610708909992,846
"182",109325,"REST2","LR",0.107623048754137,843.84
"183",109325,"REST1","RL",0.139655617414641,835.92
"184",109325,"REST2","RL",0.11437269189959,845.28
"185",109830,"REST1","LR",0.167732449636536,838.8
"186",109830,"REST2","LR",0.216973689749366,807.84
"187",109830,"REST1","RL",0.0980633433173277,864
"188",109830,"REST2","RL",0.244183816035781,784.08
"189",110007,"REST1","LR",0.153080469399737,848.16
"190",110007,"REST2","LR",0.164690326235495,845.28
"191",110007,"REST1","RL",0.196720952750344,839.52
"192",110007,"REST2","RL",0.208742413610196,827.28
"193",110411,"REST1","LR",0.300883760114441,766.08
"194",110411,"REST2","LR",0.12450914788775,846.72
"195",110411,"REST1","RL",0.165875426186112,830.16
"196",110411,"REST2","RL",0.112746247906198,860.4
"197",110613,"REST1","LR",0.0930555486725995,860.4
"198",110613,"REST2","LR",0.210479491502831,823.68
"199",110613,"REST1","RL",0.145320658142476,840.24
"200",110613,"REST2","RL",0.146415193805513,843.84
"201",111009,"REST1","LR",0.0859097709442661,864
"202",111009,"REST2","LR",0.0890235356279467,864
"203",111009,"REST1","RL",0.0799541388554363,864
"204",111009,"REST2","RL",0.0791578032654072,864
"205",111211,"REST1","LR",0.251897947130248,764.64
"206",111211,"REST2","LR",0.144820109506043,822.96
"207",111211,"REST1","RL",0.179788254845713,799.92
"208",111211,"REST2","RL",0.219750980843079,787.68
"209",111312,"REST1","LR",0.177382804043313,830.16
"210",111312,"REST2","LR",0.203812396611651,818.64
"211",111312,"REST1","RL",0.122452364704252,852.48
"212",111312,"REST2","RL",0.180354012580786,843.12
"213",111413,"REST1","LR",0.0927889621969466,864
"214",111413,"REST2","LR",0.128436404572701,863.28
"215",111413,"REST1","RL",0.0901317551555175,864
"216",111413,"REST2","RL",0.129797911947603,864
"217",111514,"REST1","LR",0.141331882885628,864
"218",111514,"REST2","LR",0.156586504748667,864
"219",111514,"REST1","RL",0.158261984678858,864
"220",111514,"REST2","RL",0.193558824627099,851.04
"221",111716,"REST1","LR",0.108218341868219,856.8
"222",111716,"REST2","LR",0.0926142177085806,860.4
"223",111716,"REST1","RL",0.0884214138911213,861.84
"224",111716,"REST2","RL",0.108237372468105,858.24
"225",112112,"REST1","LR",0.196972840007353,838.08
"226",112112,"REST2","LR",0.121457345833875,856.08
"227",112112,"REST1","RL",0.132100148539353,861.12
"228",112112,"REST2","RL",0.113871736260714,856.08
"229",112314,"REST1","LR",0.23876975202972,851.04
"230",112314,"REST2","LR",0.169977421377218,864
"231",112314,"REST1","RL",0.309207365195564,788.4
"232",112314,"REST2","RL",0.118463627209304,856.08
"233",112516,"REST1","LR",0.157861459085213,851.76
"234",112516,"REST2","LR",0.0760295387213976,864
"235",112516,"REST1","RL",0.0722604380344794,864
"236",112516,"REST2","RL",0.0787924583143698,864
"237",112819,"REST1","LR",0.0929426145831128,864
"238",112819,"REST1","RL",0.100725696292973,863.28
"239",112920,"REST1","LR",0.12037230055481,848.16
"240",112920,"REST2","LR",0.114467760845294,856.08
"241",112920,"REST1","RL",0.133558541422971,846.72
"242",112920,"REST2","RL",0.178280586810935,825.84
"243",113215,"REST1","LR",0.132801464865923,849.6
"244",113215,"REST2","LR",0.0774971420972484,864
"245",113215,"REST1","RL",0.104146359133793,856.08
"246",113215,"REST2","RL",0.0856470359415513,861.84
"247",113316,"REST1","LR",0.0851745897456664,864
"248",113316,"REST2","LR",0.106976518614357,864
"249",113316,"REST1","RL",0.079595685323541,864
"250",113316,"REST2","RL",0.20243112027868,813.6
"251",113417,"REST1","LR",0.119762300582096,864
"252",113417,"REST1","RL",0.0986682675519621,864
"253",113619,"REST1","LR",0.10923419266608,859.68
"254",113619,"REST2","LR",0.0775155370817325,864
"255",113619,"REST1","RL",0.101587131836248,861.12
"256",113619,"REST2","RL",0.101759531347406,863.28
"257",113821,"REST1","LR",0.0727929982207961,864
"258",113821,"REST1","RL",0.0761081877654761,864
"259",113922,"REST1","LR",0.203117390032834,796.32
"260",113922,"REST2","LR",0.139537584102946,864
"261",113922,"REST1","RL",0.099439036759322,853.92
"262",113922,"REST2","RL",0.105614836614263,862.56
"263",114116,"REST1","LR",0.108088030235572,864
"264",114116,"REST1","RL",0.108803778086893,864
"265",114217,"REST1","LR",0.0899007529194331,858.96
"266",114217,"REST2","LR",0.0887295017062674,858.24
"267",114217,"REST1","RL",0.0953508640243364,859.68
"268",114217,"REST2","RL",0.111076146307769,864
"269",114318,"REST1","LR",0.107135524079795,847.44
"270",114318,"REST2","LR",0.103929973868241,851.76
"271",114318,"REST1","RL",0.16949534697834,812.16
"272",114318,"REST2","RL",0.116561895830495,845.28
"273",114419,"REST1","LR",0.130340399895422,858.24
"274",114419,"REST2","LR",0.0791920469769778,862.56
"275",114419,"REST1","RL",0.146631122123151,856.8
"276",114419,"REST2","RL",0.0709869124390021,863.28
"277",114621,"REST1","LR",0.121992228959271,856.8
"278",114621,"REST2","LR",0.122839574404593,858.96
"279",114621,"REST1","RL",0.102122337862987,860.4
"280",114621,"REST2","RL",0.0979289393775017,862.56
"281",114823,"REST1","LR",0.130682342636511,847.44
